song_id,artist_name,genre,release_year,duration_seconds,tempo,energy,danceability,valence,acousticness,popularity,listen_count,user_age
1,Artist G,Rock,2011,270,172,0.5044821241518107,0.47821904296398937,0.8174307279248095,0.09186945979136284,59,43460,23
2,Artist D,Pop,2000,246,146,0.8584543953621389,0.41201133681563173,0.4791693122102979,0.4884960339533061,42,91397,54
3,Artist H,Jazz,2005,274,155,0.8150476511058071,0.5501936671105233,0.6340461908168218,0.23090444259220463,75,73847,16
4,Artist E,Jazz,2022,249,105,0.557396416425011,0.24664078217899094,0.23785589696130388,0.46499057713808983,99,94607,59
5,Artist G,Classical,1998,136,95,0.7505226406748985,0.7846368845997,0.2538312150469366,0.12349017221936186,67,90106,39
6,Artist J,Country,1995,223,130,0.7527257244508094,0.7917264466877618,0.1326948930131831,0.38491208148385403,4,19449,53
7,Artist C,Hip-Hop,2005,280,165,0.36187432130155955,0.6188970284118471,0.23514805045773166,0.42607154604126873,36,34536,23
8,Artist G,Classical,2018,256,136,0.8415317440077401,0.5216578198064723,0.32287227122556694,0.04145882945794153,71,65077,36
9,Artist H,R&B,1992,162,108,0.6031514234687143,0.3857165697717967,0.24160838742139745,0.2692834225551365,91,39258,57
10,Artist E,Hip-Hop,2009,295,157,0.7958744796646451,0.6882770118241692,0.1709620270056445,0.1075317415511794,30,49302,18
11,Artist D,Pop,2008,158,171,0.49202976061836706,0.6108387035323276,0.19650869688048067,0.0506999763782142,8,29865,40
12,Artist H,Hip-Hop,2015,289,148,0.8373139370977203,0.2975701636069348,0.4686230144261806,0.7919681859119563,50,7645,43
13,Artist H,Country,1992,145,126,0.5335210072404979,0.7465563106963056,0.26506697472463403,0.2578830759797784,28,39000,59
14,Artist C,Hip-Hop,2008,218,173,0.306502590888179,0.6935223457539015,0.39141588883846035,0.6478995566837079,77,27737,48
15,Artist F,Pop,2009,169,141,0.8432291858515584,0.7698799479751546,0.5027338166838855,0.2037125238110111,39,12485,37
16,Artist E,Country,2021,272,148,0.35477200607168013,0.635431705033016,0.6523158629034922,0.5452021777791435,40,39565,51
17,Artist B,Folk,1996,271,155,0.49158818255424896,0.5680491175614739,0.13144971187287915,0.6081822879117493,85,26522,25
18,Artist H,Jazz,2022,132,95,0.8700371802304829,0.45094582177437137,0.7395283191272342,0.47651099248627543,10,66155,20
19,Artist F,Jazz,2007,179,169,0.8703642881625338,0.7596370900124081,0.6023203115927263,0.37726095084012673,22,56168,32
20,Artist B,Indie,1990,254,169,0.6440627328739716,0.719638333700245,0.16540722555909754,0.32947273131781485,0,53487,35
21,Artist E,Folk,2000,176,127,0.6791023273018796,0.22713120206371365,0.7988628992854218,0.27909461323439627,45,13342,56
22,Artist A,Folk,2017,155,164,0.5690673131869919,0.2158201846983512,0.8366979204254505,0.7436233153982608,20,41806,50
23,Artist J,Hip-Hop,2014,292,118,0.47592646301883873,0.4258780201268298,0.148862367883891,0.6644955262301834,89,49770,55
24,Artist F,Jazz,2012,139,179,0.4971987272219496,0.6863319984690999,0.321502118517763,0.7720215285332102,35,79623,52
25,Artist I,Pop,2020,184,112,0.7035110736462231,0.7923656775889667,0.7449610238344491,0.0994377787884358,53,76629,48
26,Artist A,Electronic,2019,127,173,0.7514247176626081,0.2902501346621169,0.6986077523069267,0.5846939801629154,86,53603,31
27,Artist J,Electronic,1996,263,102,0.7749474262355092,0.5564784292112812,0.24761681548510187,0.7506723654568304,56,82974,51
28,Artist C,Country,2005,261,89,0.7737708856767325,0.428534513978613,0.2674794586693683,0.14498645293252813,0,27399,39
29,Artist G,Jazz,2015,234,148,0.3547236618292142,0.781948638688762,0.39637768223310565,0.053197013893422,62,86382,52
30,Artist D,Jazz,1991,262,179,0.596652182821549,0.7052713538814253,0.4876183881528171,0.5928965194320472,53,82244,26
31,Artist I,Electronic,1990,211,113,0.33453525600998657,0.7029972228266828,0.5946038172242368,0.4595784905439295,54,77534,37
32,Artist C,Jazz,2001,217,131,0.6297173293942413,0.4812158958769822,0.39513091165581793,0.6734630214066177,39,56106,56
33,Artist E,Hip-Hop,1994,185,174,0.5649183008240262,0.44889170140259915,0.4700277729065183,0.1118179013010316,14,31678,36
34,Artist C,R&B,2021,151,89,0.83262250965498,0.36404424315842376,0.6979767505070053,0.6362138494879122,20,77218,35
35,Artist G,Rock,1998,205,98,0.5105490075312472,0.2338252979905563,0.12934656231247832,0.16130185603819563,46,64230,41
36,Artist E,Folk,2008,170,137,0.37024020985656353,0.718833425753032,0.3019495554752166,0.13092475429256362,72,75055,45
37,Artist I,Indie,2005,272,175,0.3857950092317015,0.6877406054780466,0.670679668707642,0.13141263834479436,52,57373,20
38,Artist G,Country,1992,182,80,0.7569063790304834,0.7998306039716785,0.8161654701497595,0.6516597761851057,8,32480,41
39,Artist B,R&B,2009,244,148,0.6709308379897567,0.7979821022443434,0.5093419536925329,0.5321577765569602,73,86230,54
40,Artist D,Electronic,2013,269,83,0.3606736056736741,0.5332590233615766,0.5256907882122526,0.4184523398152955,51,69836,48
41,Artist I,Folk,2022,177,95,0.35046408366899845,0.6613924491083063,0.18573760907182085,0.287064387298802,56,73258,26
42,Artist B,Jazz,2013,177,103,0.7205814788754721,0.7668594379294569,0.4579298934587638,0.7017604326504867,25,40986,59
43,Artist J,Indie,2000,205,159,0.3436578038185161,0.7097884344064469,0.5260938131640186,0.3139560859381083,40,25160,21
44,Artist I,Jazz,1997,168,81,0.7931160355742137,0.3484088610459186,0.2939764029077837,0.6532795515772617,34,86595,24
45,Artist J,Pop,2009,299,171,0.7237453362938977,0.4703264811860562,0.31539458475950477,0.35130792685617473,62,80111,59
46,Artist E,Pop,2014,289,111,0.34880926838513987,0.277495649090897,0.4018273304836981,0.3015555435399261,24,65929,31
47,Artist B,Indie,2014,189,170,0.35090262845111514,0.7724306163552335,0.1160569582221811,0.37014382853568517,89,74506,40
48,Artist D,Indie,2018,134,163,0.8919837471007053,0.5637047806705281,0.3576633324665427,0.24110229933131366,74,35911,35
49,Artist G,Electronic,2007,173,103,0.5245624774536722,0.33718568330207765,0.2691584055972357,0.5980875041410009,37,88127,42
